Title,Link,Length,Lecture No.,Book,Real Lecture Correlation
Two Charges,https://apps.tlt.stonybrook.edu/vq/users/evannieuwenh/315/,12:12,1,1,
Charges In A Line,https://apps.tlt.stonybrook.edu/vq/users/evannieuwenh/316/,12:12,1,1,
Charge Symmetry ,https://apps.tlt.stonybrook.edu/vq/users/evannieuwenh/318/,7:00,2,1,
Electroscope,https://apps.tlt.stonybrook.edu/vq/users/evannieuwenh/319/,6:34,2,1,
Electric Projectile,https://apps.tlt.stonybrook.edu/vq/users/evannieuwenh/320/,12:16,2,1,
Orbiting Electron,https://apps.tlt.stonybrook.edu/vq/users/evannieuwenh/321/,10:29,2,1,
Solid Sphere,https://apps.tlt.stonybrook.edu/vq/users/evannieuwenh/322/,10:01,8,3,7
Solid Cylinder,https://apps.tlt.stonybrook.edu/vq/users/evannieuwenh/323/,13:07,8,3,
Concentric Spheres,https://apps.tlt.stonybrook.edu/vq/users/evannieuwenh/324/,13:54,8,3,
Infinite Thick Slab,https://apps.tlt.stonybrook.edu/vq/users/evannieuwenh/325/,14:53,9,3,
Double Slab,https://apps.tlt.stonybrook.edu/vq/users/evannieuwenh/326/,17:12,9,3,
Equipotentials,https://apps.tlt.stonybrook.edu/vq/users/evannieuwenh/327/,3:06,10,5,
Field and Potential,https://apps.tlt.stonybrook.edu/vq/users/evannieuwenh/328/,8:18,10,5,11
E From V,https://apps.tlt.stonybrook.edu/vq/users/evannieuwenh/329/,3:43,12,5,
Charge Square,https://apps.tlt.stonybrook.edu/vq/users/evannieuwenh/330/,5:30,12,5,
Smoke Detector,https://apps.tlt.stonybrook.edu/vq/users/evannieuwenh/331/,8:09,14,5,
Parallel Plate Cap,https://apps.tlt.stonybrook.edu/vq/users/evannieuwenh/332/,8:43,14,5,
Partly Filled Cap,https://apps.tlt.stonybrook.edu/vq/users/evannieuwenh/333/,9:55,14,5,
Capacitor Network,https://apps.tlt.stonybrook.edu/vq/users/evannieuwenh/334/,10:25,14,5,15
Resistor Network,https://apps.tlt.stonybrook.edu/vq/users/evannieuwenh/335/,8:14,15,6,
Kirchoff,https://apps.tlt.stonybrook.edu/vq/users/evannieuwenh/336/,18:20,15,6,16
Kirchoff2,https://apps.tlt.stonybrook.edu/vq/users/evannieuwenh/337/,13:39,15,6,17
Cyclotron,https://apps.tlt.stonybrook.edu/vq/users/evannieuwenh/338/,9:56,18,7,
Helix,https://apps.tlt.stonybrook.edu/vq/users/evannieuwenh/339/,6:53,18,7,
Mass Spectrometer,https://apps.tlt.stonybrook.edu/vq/users/evannieuwenh/340/,14:29,19,7,
Magnetic Moment,https://apps.tlt.stonybrook.edu/vq/users/evannieuwenh/341/,10:24,19,7,
Long Wire,https://apps.tlt.stonybrook.edu/vq/users/evannieuwenh/342/,5:39,19,7,
Long Solenoid,https://apps.tlt.stonybrook.edu/vq/users/evannieuwenh/343/,6:44,19,7,
Toroid,https://apps.tlt.stonybrook.edu/vq/users/evannieuwenh/344/,4:09,19,7,
Two Wires,https://apps.tlt.stonybrook.edu/vq/users/evannieuwenh/345/,9:19,20,7,
Arched Loop,https://apps.tlt.stonybrook.edu/vq/users/evannieuwenh/346/,9:11,20,7,
Antiparallel Wires,https://apps.tlt.stonybrook.edu/vq/users/evannieuwenh/347/,5:23,20,7,
Bar Slide,https://apps.tlt.stonybrook.edu/vq/users/evannieuwenh/348/,7:49,20,7,21
Lenz Law,https://apps.tlt.stonybrook.edu/vq/users/evannieuwenh/349/,13:16,21,9,
Line and Loop,https://apps.tlt.stonybrook.edu/vq/users/evannieuwenh/350/,5:44,21,9,
Moving Loop,https://apps.tlt.stonybrook.edu/vq/users/evannieuwenh/351/,8:43,21,9,
Induction Coil,https://apps.tlt.stonybrook.edu/vq/users/evannieuwenh/352/,3:44,22,9,
Sliding Bar,https://apps.tlt.stonybrook.edu/vq/users/evannieuwenh/353/,8:56,22,9,
Generator Derivation,https://apps.tlt.stonybrook.edu/vq/users/evannieuwenh/354/,13:55,22,10,
Generator Application,https://apps.tlt.stonybrook.edu/vq/users/evannieuwenh/355/,4:01,22,10,
RC Charge Up,https://apps.tlt.stonybrook.edu/vq/users/evannieuwenh/356/,11:04,24,10,
LR Transient,https://apps.tlt.stonybrook.edu/vq/users/evannieuwenh/356/,5:21,24,10,
RC Circuit,https://apps.tlt.stonybrook.edu/vq/users/evannieuwenh/358/,6:12,26,10,25
RL Filter,https://apps.tlt.stonybrook.edu/vq/users/evannieuwenh/359/,11:08,26,10,
LRC Derivation,https://apps.tlt.stonybrook.edu/vq/users/evannieuwenh/360/,21:23,26,10,
RL Phase,https://apps.tlt.stonybrook.edu/vq/users/evannieuwenh/361/,7:07,26,,
Radio Waves,https://apps.tlt.stonybrook.edu/vq/users/evannieuwenh/362/,2:07,27,11,
Laser Pointer,https://apps.tlt.stonybrook.edu/vq/users/evannieuwenh/363/,6:41,27,11,
Space Walk,https://apps.tlt.stonybrook.edu/vq/users/evannieuwenh/364/,7:33,27,11,
Polarization,https://apps.tlt.stonybrook.edu/vq/users/evannieuwenh/365/,7:35,29,12,28
Michelson Interferometer,https://apps.tlt.stonybrook.edu/vq/users/evannieuwenh/366/,6:00,29,12,
Soap Bubble,https://apps.tlt.stonybrook.edu/vq/users/evannieuwenh/367/,8:33,29,13,
Anti-Reflective Coating,https://apps.tlt.stonybrook.edu/vq/users/evannieuwenh/368/,3:46,29,13,
Water Glass,https://apps.tlt.stonybrook.edu/vq/users/evannieuwenh/369/,3:55,29,14,
Lost Toy,https://apps.tlt.stonybrook.edu/vq/users/evannieuwenh/370/,2:52,29,14,
Glass Block,https://apps.tlt.stonybrook.edu/vq/users/evannieuwenh/371/,3:54,29,14,
Mirage,https://apps.tlt.stonybrook.edu/vq/users/evannieuwenh/372/,4:18,29,14,
Two Slit,https://apps.tlt.stonybrook.edu/vq/users/evannieuwenh/373/,7:02,30,12,
Single Slit,https://apps.tlt.stonybrook.edu/vq/users/evannieuwenh/374/,4:49,30,12,
Human Hair,https://apps.tlt.stonybrook.edu/vq/users/evannieuwenh/375/,2:50,30,12,
Two Lenses,https://apps.tlt.stonybrook.edu/vq/users/evannieuwenh/376/,15:17,33,13,
Lens and Mirror,https://apps.tlt.stonybrook.edu/vq/users/evannieuwenh/377/,8:48,33,13,34
Near Sighted,https://apps.tlt.stonybrook.edu/vq/users/evannieuwenh/378/,6:41,34,13,35
Reading Glasses,https://apps.tlt.stonybrook.edu/vq/users/evannieuwenh/379/,4:20,34,13,36